时间,进水流量(m3/h),进水COD(mg/L),进水NH3-N(mg/L),进水TN(mg/L),进水TP(mg/L),曝气池DO(mg/L),SV30(%),MLSS(mg/L),TMP(kPa),出水COD(mg/L),出水NH3-N(mg/L),出水TN(mg/L),出水TP(mg/L),电耗(kWh/h),药耗(kg/h)
2026-06-02 05:00:00,692.9,347.1,39.9,58.7,4.74,1.83,33.8,3603.0,10.76,11.5,0.444,6.59,0.108,733.9,13.0
2026-06-02 06:00:00,873.4,267.3,37.8,57.0,4.86,1.84,32.8,3680.0,11.02,9.5,0.406,5.08,0.125,762.0,11.6
2026-06-02 07:00:00,819.7,356.2,28.2,46.2,4.36,1.87,33.0,3596.0,9.49,10.9,0.441,5.65,0.1,754.9,13.2
2026-06-02 08:00:00,835.9,304.2,36.2,57.1,5.95,1.82,29.9,3365.0,10.88,10.5,0.415,5.63,0.09,726.7,14.6
2026-06-02 09:00:00,904.8,341.5,41.0,61.7,5.39,2.19,30.1,3549.0,10.6,9.7,0.443,4.71,0.082,764.8,12.9
2026-06-02 10:00:00,867.0,327.7,28.8,48.5,4.8,2.1,30.1,3402.0,11.02,9.6,0.422,5.51,0.091,765.0,11.3
2026-06-02 11:00:00,871.1,407.4,33.9,53.8,4.8,2.09,29.9,3498.0,10.94,10.6,0.419,4.28,0.117,687.4,16.4
2026-06-02 12:00:00,943.5,389.3,38.1,59.6,5.47,2.08,32.4,3405.0,10.32,8.4,0.421,4.67,0.087,751.2,14.7
2026-06-02 13:00:00,832.9,362.4,37.4,56.2,5.03,1.68,23.6,3296.0,9.81,7.2,0.41,3.36,0.096,761.9,13.7
2026-06-02 14:00:00,887.9,262.7,34.1,55.8,5.55,2.18,26.5,3625.0,9.43,10.5,0.381,4.87,0.115,747.4,14.0
2026-06-02 15:00:00,1100.0,257.0,30.1,50.5,3.73,2.14,21.5,3471.0,9.3,8.3,0.487,4.39,0.088,750.8,12.2
2026-06-02 16:00:00,901.8,343.6,36.5,52.5,3.98,2.39,23.1,3456.0,9.39,10.4,0.405,4.2,0.088,784.4,16.8
2026-06-02 17:00:00,809.3,324.8,26.0,45.2,4.22,1.57,24.1,3348.0,10.07,10.5,0.41,5.23,0.081,778.0,15.5
2026-06-02 18:00:00,997.5,353.6,33.5,54.7,5.35,1.89,19.1,3183.0,9.64,9.8,0.432,4.18,0.083,791.5,13.4
2026-06-02 19:00:00,1042.5,341.4,27.9,48.8,4.73,2.33,23.6,3237.0,9.91,9.6,0.433,4.22,0.094,813.1,20.0
2026-06-02 20:00:00,933.5,344.9,34.5,54.5,5.72,2.03,22.3,3280.0,9.91,8.9,0.411,4.59,0.096,775.5,16.8
2026-06-02 21:00:00,805.6,347.5,43.8,60.5,5.0,2.33,23.1,3362.0,9.43,8.8,0.389,4.45,0.088,779.4,13.3
2026-06-02 22:00:00,866.3,307.1,31.2,53.0,3.69,1.7,27.4,3359.0,8.91,10.4,0.381,4.56,0.085,743.7,10.2
2026-06-02 23:00:00,743.0,402.0,34.3,54.3,5.93,1.94,28.1,3505.0,8.78,9.0,0.414,5.2,0.096,643.8,14.2
2026-06-03 00:00:00,804.8,358.0,39.5,61.6,4.61,1.82,30.0,3321.0,9.97,8.6,0.411,4.73,0.11,798.2,12.5
2026-06-03 01:00:00,605.1,342.8,36.6,54.5,5.9,1.59,29.5,3439.0,7.85,10.1,0.398,3.73,0.096,714.4,11.6
2026-06-03 02:00:00,752.0,361.6,34.7,56.9,5.12,2.08,32.6,3427.0,8.1,11.0,0.342,4.96,0.122,763.7,12.1
2026-06-03 03:00:00,882.7,375.4,28.1,49.2,4.96,1.89,31.9,3403.0,9.86,9.7,0.457,5.91,0.105,783.6,15.3
2026-06-03 04:00:00,867.1,292.0,38.1,59.2,4.19,1.76,35.4,3341.0,8.66,9.5,0.4,4.52,0.108,769.5,10.8
2026-06-03 05:00:00,733.2,389.4,36.3,53.9,6.0,1.93,33.4,3523.0,8.56,9.8,0.434,5.67,0.109,714.8,13.9
2026-06-03 06:00:00,913.2,359.5,29.7,51.8,6.28,2.0,30.5,3352.0,7.04,10.9,0.45,6.86,0.112,792.9,15.7
2026-06-03 07:00:00,889.4,371.7,40.3,58.6,4.23,1.98,30.7,3307.0,8.74,10.3,0.41,4.97,0.134,771.2,13.3
2026-06-03 08:00:00,838.1,391.2,36.3,54.6,4.7,2.1,33.8,3358.0,6.25,11.2,0.419,6.19,0.093,725.3,11.3
2026-06-03 09:00:00,845.9,335.3,38.4,59.2,8.78,1.86,32.5,3210.0,7.73,11.9,0.416,6.37,0.085,680.2,15.2
2026-06-03 10:00:00,925.3,297.7,30.8,50.8,5.26,2.19,32.4,3296.0,7.32,10.3,0.465,4.57,0.128,799.2,12.6
2026-06-03 11:00:00,856.4,350.5,30.6,47.5,4.27,1.89,32.1,3349.0,7.86,12.1,0.445,4.26,0.115,801.0,13.0
2026-06-03 12:00:00,942.7,401.8,36.5,56.6,4.79,2.31,26.8,3599.0,8.41,10.3,0.441,6.73,0.125,749.5,16.9
2026-06-03 13:00:00,891.2,404.8,32.6,50.7,5.21,2.05,25.7,3523.0,6.3,12.8,0.464,7.02,0.147,796.6,11.3
2026-06-03 14:00:00,847.6,302.0,37.6,59.0,5.64,2.01,26.4,3250.0,5.72,10.6,0.427,6.48,0.119,790.5,12.8
2026-06-03 15:00:00,1047.9,330.8,51.9,67.4,4.68,2.25,23.5,3533.0,6.53,12.4,0.447,6.32,0.157,797.4,14.9
2026-06-03 16:00:00,960.0,317.6,36.4,53.2,5.72,1.57,22.6,3337.0,6.28,13.9,0.443,6.0,0.129,770.2,15.5
2026-06-03 17:00:00,863.7,373.4,31.8,50.4,5.07,2.17,20.5,3504.0,5.51,12.8,0.467,6.97,0.14,726.1,12.8
2026-06-03 18:00:00,999.3,317.1,27.0,45.7,5.15,1.85,24.4,3523.0,8.28,13.5,0.482,6.8,0.132,801.8,14.8
2026-06-03 19:00:00,1100.0,334.7,30.3,50.2,3.97,2.09,23.0,3657.0,7.16,13.9,0.495,5.78,0.134,828.9,15.5
2026-06-03 20:00:00,915.2,367.7,32.7,57.1,4.65,2.04,24.4,3605.0,5.67,16.4,0.495,8.45,0.135,798.1,13.1
2026-06-03 21:00:00,886.8,674.3,25.6,46.6,4.42,1.85,24.4,3500.0,6.21,15.3,0.481,8.17,0.147,744.6,12.9
2026-06-03 22:00:00,850.1,323.0,33.6,52.9,5.13,1.66,25.0,3316.0,5.5,14.1,0.475,7.0,0.147,764.1,17.2
2026-06-03 23:00:00,796.0,356.6,35.4,51.9,4.3,2.13,26.3,3671.0,5.82,16.2,0.49,7.84,0.15,755.7,14.9
2026-06-04 00:00:00,795.8,322.7,36.3,57.9,5.2,2.08,29.2,3655.0,5.51,18.3,0.477,7.66,0.136,789.8,12.7
2026-06-04 01:00:00,595.9,358.1,31.1,50.1,3.31,2.07,27.9,3442.0,3.0,13.5,0.465,8.63,0.129,746.5,13.4
2026-06-04 02:00:00,728.9,323.3,34.0,53.3,5.88,1.86,32.0,3684.0,4.56,13.6,0.489,6.76,0.151,793.0,12.0
2026-06-04 03:00:00,1023.2,395.9,34.2,55.1,4.58,2.17,31.2,3568.0,4.29,12.8,0.513,8.06,0.169,798.0,13.7
2026-06-04 04:00:00,833.5,241.6,32.1,51.7,4.68,2.27,34.1,3580.0,5.19,16.7,0.465,7.68,0.122,756.2,12.2
2026-06-04 05:00:00,684.0,309.9,29.7,47.3,5.41,1.62,36.3,3301.0,5.0,16.5,0.49,6.74,0.144,721.8,14.9
2026-06-04 06:00:00,907.5,376.0,32.9,49.5,5.16,1.84,31.9,3763.0,4.6,15.1,0.446,8.35,0.142,782.2,12.2
2026-06-04 07:00:00,1026.0,320.9,34.3,54.1,5.54,2.03,34.7,3727.0,4.24,15.6,0.524,7.03,0.119,756.6,13.9
2026-06-04 08:00:00,908.7,365.1,31.7,53.1,5.34,1.96,35.7,3518.0,3.35,16.3,0.476,8.55,0.139,754.1,15.9
2026-06-04 09:00:00,874.9,354.4,32.6,53.5,5.0,1.91,32.0,3575.0,4.32,15.7,0.485,7.66,0.156,698.7,11.8
2026-06-04 10:00:00,904.4,369.1,44.5,63.1,5.13,1.91,27.5,3498.0,4.09,14.5,0.483,7.45,0.151,742.1,12.9
2026-06-04 11:00:00,929.9,357.9,33.3,54.4,4.62,2.41,30.9,3598.0,4.93,16.1,0.536,6.36,0.129,708.8,12.3
2026-06-04 12:00:00,1025.8,329.8,38.7,58.7,4.89,1.75,29.0,3549.0,4.25,14.3,0.455,7.57,0.147,764.3,15.1
2026-06-04 13:00:00,868.2,349.7,24.9,45.1,3.7,2.3,25.9,3746.0,3.09,15.8,0.508,6.62,0.148,785.1,13.8
2026-06-04 14:00:00,892.0,342.4,35.1,55.8,4.69,1.8,20.1,3590.0,4.55,13.0,0.515,7.27,0.147,721.1,11.5
2026-06-04 15:00:00,1100.0,361.0,36.2,56.3,4.33,2.33,22.9,3261.0,4.09,14.5,0.453,8.13,0.138,845.6,12.7
2026-06-04 16:00:00,934.8,330.5,38.7,62.0,3.88,1.75,25.3,3648.0,4.18,12.2,0.467,7.89,0.141,771.3,14.2
2026-06-04 17:00:00,836.4,248.3,26.2,44.6,6.27,1.82,21.8,3655.0,3.33,11.3,0.474,6.63,0.15,731.2,11.6
2026-06-04 18:00:00,966.6,333.7,38.5,55.1,5.42,2.17,21.2,3746.0,3.46,13.9,0.486,7.1,0.105,772.1,15.0
2026-06-04 19:00:00,1100.0,399.6,37.8,56.4,6.0,2.65,21.4,3860.0,3.8,12.7,0.428,7.42,0.149,818.0,18.0
2026-06-04 20:00:00,1010.7,375.1,32.2,55.6,5.53,1.82,22.1,3634.0,3.0,12.2,0.452,7.05,0.117,759.7,13.7
2026-06-04 21:00:00,876.0,362.6,36.1,52.9,4.64,1.96,24.3,3726.0,4.66,12.6,0.472,7.27,0.137,795.1,11.5
2026-06-04 22:00:00,898.8,329.3,34.9,51.8,4.93,2.3,24.8,3835.0,3.41,12.4,0.486,6.66,0.137,781.6,11.3
2026-06-04 23:00:00,844.0,409.7,36.3,53.0,5.93,1.92,24.5,3562.0,3.17,15.1,0.5,5.85,0.134,741.0,12.7
2026-06-05 00:00:00,792.9,379.1,33.8,55.8,5.39,2.09,25.3,3654.0,3.98,12.2,0.415,6.91,0.134,767.8,13.0
2026-06-05 01:00:00,584.6,794.8,34.2,53.5,8.41,1.47,28.4,3803.0,3.62,11.0,0.474,5.83,0.117,732.3,13.2
2026-06-05 02:00:00,722.3,379.0,33.7,54.1,5.48,1.72,28.1,3674.0,3.85,14.2,0.434,6.04,0.13,757.6,14.5
2026-06-05 03:00:00,941.9,386.5,36.5,54.9,4.84,2.02,31.5,3676.0,3.82,10.5,0.443,5.75,0.115,744.9,15.0
2026-06-05 04:00:00,780.6,309.1,35.3,53.5,4.25,2.19,30.8,3443.0,3.0,11.0,0.428,6.31,0.099,777.0,13.1
2026-06-05 05:00:00,629.5,413.5,36.7,57.6,4.98,1.99,34.6,3894.0,4.77,10.6,0.409,4.87,0.109,707.5,12.0
2026-06-05 06:00:00,865.8,337.9,34.3,55.0,5.2,2.0,35.8,3690.0,3.24,10.8,0.402,5.29,0.114,755.2,14.3
2026-06-05 07:00:00,922.4,376.4,39.0,58.3,5.64,1.8,33.6,3441.0,4.23,10.6,0.433,5.21,0.114,788.9,11.6
2026-06-05 08:00:00,785.6,333.5,30.7,51.0,5.03,2.03,35.3,3678.0,4.22,8.6,0.449,4.84,0.094,765.3,14.6
2026-06-05 09:00:00,940.4,314.6,34.4,57.7,4.49,2.37,31.2,3551.0,4.47,11.5,0.405,5.22,0.095,757.5,14.3
2026-06-05 10:00:00,866.4,364.2,25.4,47.5,4.39,2.21,28.9,3440.0,4.96,10.1,0.411,6.09,0.1,764.2,10.2
2026-06-05 11:00:00,828.7,308.1,28.7,45.9,4.38,1.78,28.2,3561.0,4.15,10.3,0.409,4.02,0.085,786.9,14.9
2026-06-05 12:00:00,938.8,436.3,36.1,58.4,4.48,2.41,27.5,3652.0,4.55,9.4,0.393,4.14,0.087,766.1,14.0
2026-06-05 13:00:00,891.8,339.5,34.8,55.3,5.57,2.09,26.3,3290.0,5.98,9.8,0.415,3.57,0.107,748.1,11.1
2026-06-05 14:00:00,919.0,334.2,29.4,48.9,5.72,1.76,24.9,3505.0,5.24,10.3,0.372,3.38,0.102,735.3,13.2
2026-06-05 15:00:00,1008.0,417.1,32.9,49.8,5.01,2.01,25.3,3386.0,5.83,7.0,0.41,3.48,0.084,800.7,14.3
2026-06-05 16:00:00,925.2,311.3,45.0,63.1,5.71,2.3,25.6,3478.0,5.82,8.8,0.413,4.56,0.087,790.4,15.9
2026-06-05 17:00:00,826.6,394.3,34.4,58.5,4.88,2.27,21.9,3456.0,4.7,8.3,0.384,3.3,0.08,735.1,12.8
2026-06-05 18:00:00,1082.7,443.2,31.9,52.8,5.23,2.04,24.7,3306.0,6.69,10.9,0.375,5.0,0.088,804.0,15.4
2026-06-05 19:00:00,1100.0,377.2,34.3,57.5,3.49,1.91,24.0,3120.0,6.85,10.2,0.418,4.71,0.102,838.7,17.2
2026-06-05 20:00:00,913.2,331.4,39.9,61.6,5.04,1.8,21.7,3598.0,7.01,11.0,0.404,3.79,0.089,751.1,12.2
2026-06-05 21:00:00,896.5,338.2,39.7,58.8,5.4,2.12,26.2,3370.0,6.31,7.1,0.435,3.58,0.084,719.6,16.6
2026-06-05 22:00:00,870.0,433.1,31.0,54.0,4.7,2.09,24.1,3384.0,5.18,7.3,0.386,6.03,0.101,754.3,15.2
2026-06-05 23:00:00,835.5,425.8,36.0,54.1,4.98,1.92,30.9,3450.0,6.26,8.1,0.41,4.2,0.101,709.9,11.0
2026-06-06 00:00:00,742.0,381.5,35.2,58.9,5.29,2.12,27.3,3411.0,7.29,8.1,0.406,3.83,0.061,737.2,12.7
2026-06-06 01:00:00,532.3,278.4,29.2,48.5,4.54,2.02,32.1,3181.0,7.19,8.7,0.412,5.07,0.082,688.6,13.9
2026-06-06 02:00:00,745.5,266.8,38.0,56.0,4.14,1.73,28.5,3425.0,7.16,9.5,0.426,4.07,0.086,724.8,12.3
2026-06-06 03:00:00,850.9,308.9,31.8,50.9,5.05,2.24,29.8,3231.0,8.82,7.2,0.419,3.82,0.126,722.4,16.2
2026-06-06 04:00:00,721.3,371.9,27.9,48.2,5.82,1.78,32.7,3199.0,6.79,12.5,0.465,5.37,0.094,739.6,12.8
2026-06-06 05:00:00,700.9,375.7,28.9,49.0,5.03,2.07,33.1,3304.0,6.41,10.1,0.41,4.45,0.089,706.0,11.2
2026-06-06 06:00:00,778.8,333.0,31.6,52.1,4.06,1.83,31.7,3349.0,7.93,9.6,0.422,5.57,0.12,751.1,16.1
2026-06-06 07:00:00,795.9,334.7,41.3,62.0,5.29,1.88,33.0,3317.0,7.98,10.7,0.416,5.89,0.099,806.9,15.5
2026-06-06 08:00:00,712.7,416.4,32.0,51.7,5.43,1.99,29.2,3354.0,8.18,9.7,0.408,4.98,0.091,690.6,16.7
2026-06-06 09:00:00,825.4,318.2,40.6,58.1,5.08,1.77,34.0,3451.0,6.21,13.2,0.417,5.48,0.12,748.7,14.6
2026-06-06 10:00:00,823.2,263.1,26.3,43.7,4.8,1.81,29.7,3258.0,9.65,10.6,0.458,4.68,0.122,696.3,10.9
2026-06-06 11:00:00,860.6,344.7,41.2,60.1,5.28,2.14,29.1,3591.0,9.42,11.6,0.429,5.47,0.125,778.6,12.6
2026-06-06 12:00:00,959.0,296.7,39.4,58.2,4.66,2.26,30.0,3170.0,9.7,11.1,0.472,6.54,0.113,738.3,13.6
2026-06-06 13:00:00,780.8,641.5,36.7,55.8,5.7,2.12,30.1,3316.0,8.85,12.8,0.472,6.13,0.124,736.3,16.6
2026-06-06 14:00:00,830.6,391.3,42.9,63.4,4.6,1.83,26.2,3200.0,9.01,12.5,0.479,6.98,0.115,808.6,16.0
2026-06-06 15:00:00,1020.0,322.1,34.6,56.2,5.85,1.92,24.7,3286.0,9.51,13.8,0.442,7.62,0.136,750.2,14.6
2026-06-06 16:00:00,897.8,379.1,37.5,57.0,5.6,2.25,21.7,3347.0,9.57,14.7,0.444,6.94,0.129,748.8,15.4
2026-06-06 17:00:00,775.3,357.8,32.2,53.7,5.29,2.07,19.4,3390.0,7.65,13.5,0.465,6.65,0.138,774.5,11.1
2026-06-06 18:00:00,902.2,338.3,31.5,50.2,5.26,2.13,18.5,3419.0,11.73,12.7,0.454,7.3,0.129,783.8,16.6
2026-06-06 19:00:00,1083.9,332.0,40.0,60.9,5.21,2.05,24.3,3528.0,9.04,15.9,0.438,6.74,0.125,795.0,15.0
2026-06-06 20:00:00,1013.9,324.4,37.8,58.0,5.06,1.78,26.8,3293.0,10.87,13.0,0.475,6.44,0.136,764.4,19.4
2026-06-06 21:00:00,868.5,318.2,34.1,55.8,6.06,2.0,21.3,3541.0,10.03,13.6,0.502,5.16,0.117,762.5,14.1
2026-06-06 22:00:00,814.9,416.3,34.1,52.6,4.55,1.97,24.0,3648.0,10.77,12.0,0.523,6.38,0.13,753.7,14.8
2026-06-06 23:00:00,799.5,380.8,29.5,50.6,5.55,2.04,25.4,3557.0,10.42,15.7,0.465,6.47,0.161,729.0,12.7
2026-06-07 00:00:00,777.1,358.3,23.5,46.2,5.63,1.92,30.1,3498.0,9.51,16.0,0.475,6.76,0.154,803.1,13.8
2026-06-07 01:00:00,598.8,429.2,35.0,58.4,3.97,1.84,26.4,3658.0,10.3,15.7,0.488,7.04,0.16,666.5,11.4
2026-06-07 02:00:00,760.3,464.3,30.8,52.4,4.64,1.61,29.2,3623.0,10.67,15.3,0.465,8.05,0.126,722.0,12.7
2026-06-07 03:00:00,895.2,320.7,29.5,53.5,4.6,1.93,33.8,3365.0,11.33,18.2,0.501,6.53,0.138,759.2,14.0
2026-06-07 04:00:00,756.5,361.3,34.3,55.6,4.35,1.83,33.1,3796.0,10.36,15.9,0.489,7.41,0.147,795.3,12.1
2026-06-07 05:00:00,603.6,431.4,36.0,54.1,5.41,1.7,35.4,3629.0,10.79,14.9,0.533,7.51,0.166,742.1,12.4
2026-06-07 06:00:00,884.2,354.8,32.7,54.8,4.05,2.15,36.9,3586.0,9.91,15.7,0.483,7.49,0.138,777.5,14.7
2026-06-07 07:00:00,854.0,336.6,42.7,63.4,5.68,1.75,31.6,3632.0,11.18,15.3,0.489,7.84,0.136,756.0,12.1
2026-06-07 08:00:00,733.2,287.3,28.4,53.6,4.94,2.09,33.6,3583.0,10.66,15.7,0.468,7.03,0.148,763.0,10.6
2026-06-07 09:00:00,868.2,394.1,36.7,55.0,5.13,1.96,34.1,3619.0,10.29,14.8,0.476,7.58,0.151,815.0,13.0
2026-06-07 10:00:00,821.7,367.3,33.4,56.6,5.52,1.93,28.3,3488.0,10.77,15.2,0.502,6.99,0.165,779.6,11.5
2026-06-07 11:00:00,881.2,265.6,37.1,55.5,5.8,1.92,24.6,3943.0,9.84,13.7,0.494,8.3,0.139,815.4,13.9
2026-06-07 12:00:00,903.5,324.1,36.7,56.6,5.39,1.96,27.9,3713.0,9.43,15.5,0.492,8.18,0.132,781.5,18.8
2026-06-07 13:00:00,861.1,315.9,31.8,60.6,5.28,2.02,24.2,3413.0,10.32,15.5,0.509,6.62,0.14,804.2,10.3
2026-06-07 14:00:00,832.4,364.2,33.4,52.4,5.75,2.18,23.0,3838.0,10.94,14.5,0.485,7.75,0.152,742.1,13.5
2026-06-07 15:00:00,975.8,323.0,32.7,53.3,4.21,2.32,20.2,3868.0,9.18,17.0,0.481,7.82,0.132,761.0,16.4
2026-06-07 16:00:00,894.7,399.0,32.2,52.6,3.91,2.3,20.9,3702.0,9.92,14.0,0.51,7.03,0.145,721.8,13.8
2026-06-07 17:00:00,809.6,333.1,34.3,57.0,5.6,2.13,23.7,3457.0,9.54,14.6,0.482,5.62,0.144,740.7,14.5
2026-06-07 18:00:00,1020.5,343.4,34.6,56.3,5.78,2.4,24.0,3566.0,10.78,13.8,0.506,6.92,0.127,779.8,13.5
2026-06-07 19:00:00,1100.0,263.6,48.2,67.2,3.89,2.38,19.9,3595.0,10.03,12.7,0.463,6.53,0.135,814.9,13.0
2026-06-07 20:00:00,834.6,296.5,31.8,53.3,5.0,2.25,25.9,4024.0,8.25,13.0,0.464,6.07,0.134,797.2,12.5
2026-06-07 21:00:00,903.5,432.2,32.9,52.7,4.89,1.76,21.9,3508.0,8.88,14.4,0.475,6.88,0.132,755.6,13.9
2026-06-07 22:00:00,861.6,695.5,31.1,51.5,5.06,2.09,27.2,3656.0,10.92,10.8,0.453,6.37,0.114,746.7,12.7
2026-06-07 23:00:00,730.3,518.3,30.0,50.5,4.53,1.96,29.6,3790.0,7.99,12.3,0.503,6.0,0.114,746.8,14.5
2026-06-08 00:00:00,795.9,299.5,33.5,54.0,4.94,1.95,31.6,3652.0,9.29,13.8,0.421,5.44,0.136,729.8,14.0
2026-06-08 01:00:00,628.0,319.4,34.4,55.4,4.93,1.75,29.4,3575.0,8.46,11.9,0.394,6.71,0.12,725.4,11.2
2026-06-08 02:00:00,715.4,332.7,37.2,55.2,4.83,1.91,35.0,3673.0,9.61,10.5,0.458,5.98,0.115,739.6,11.8
2026-06-08 03:00:00,1000.0,366.5,32.1,52.1,5.69,1.73,32.4,3583.0,10.15,11.8,0.468,6.02,0.116,739.9,14.8
2026-06-08 04:00:00,780.7,311.6,33.8,51.6,6.88,1.91,33.1,3537.0,9.01,8.1,0.427,5.62,0.12,770.2,15.2
2026-06-08 05:00:00,737.5,366.2,35.4,65.1,4.29,2.3,34.8,3618.0,8.81,10.5,0.469,4.87,0.111,779.8,11.7
2026-06-08 06:00:00,904.6,427.9,32.2,53.4,5.29,1.81,37.1,3765.0,7.23,11.7,0.394,5.13,0.14,759.7,16.5
2026-06-08 07:00:00,889.6,731.9,33.6,57.8,6.01,2.1,34.2,3930.0,6.63,13.1,0.415,5.59,0.086,802.0,15.3
2026-06-08 08:00:00,845.7,497.8,36.9,58.6,4.59,1.69,36.6,3481.0,8.09,10.4,0.453,4.7,0.111,797.7,14.4
2026-06-08 09:00:00,851.7,321.9,55.5,77.4,4.8,1.93,31.7,3573.0,8.34,10.8,0.421,3.83,0.094,723.8,15.6
2026-06-08 10:00:00,800.1,389.7,35.4,65.7,5.04,1.68,29.5,3523.0,8.89,8.8,0.416,5.78,0.106,800.6,12.5
2026-06-08 11:00:00,880.6,394.0,41.8,58.6,5.28,2.41,29.2,3346.0,7.64,11.0,0.424,5.31,0.102,744.6,15.1
2026-06-08 12:00:00,1044.3,260.2,30.9,50.3,4.86,1.92,25.3,3388.0,7.1,9.5,0.398,4.68,0.106,755.0,13.6
2026-06-08 13:00:00,910.2,306.5,31.9,48.7,4.58,1.85,28.1,3597.0,6.69,8.2,0.418,4.24,0.084,720.3,12.6
2026-06-08 14:00:00,921.1,354.0,37.2,58.2,4.33,1.93,26.1,3668.0,6.4,9.6,0.405,3.99,0.11,750.3,11.4
2026-06-08 15:00:00,1014.9,356.2,30.0,50.0,4.95,2.15,25.3,3663.0,6.67,7.8,0.394,3.43,0.101,810.0,14.4
